Body_ID,Date,Time,0_NOSE,1_NECK,2_RIGHT_SHOULDER,3_RIGHT_ELBOW,4_RIGHT_WRIST,5_LEFT_SHOULDER,6_LEFT_ELBOW,7_LEFT_WRIST,8_RIGHT_HIP,9_RIGHT_KNEE,10_RIGHT_ANKLE,11_LEFT_HIP,12_LEFT_KNEE,13_LEFT_ANKLE,14_RIGHT_EYE,15_LEFT_EYE,16_RIGHT_EAR,17_LEFT_EAR
12,2023-04-04,16:20:07.500050,"-2.3268008,-0.076334655,-2.0753472","-2.258009,-0.19121456,-2.1977398","-2.4300337,-0.20422256,-2.2204838","-2.567689,-0.42882133,-2.2546208","-2.5838382,-0.5888651,-2.0562248","-2.0859847,-0.17820647,-2.174996","-2.0287895,-0.40554565,-2.2999144","-1.9782614,-0.6426343,-2.3803618","-2.312059,-0.6805529,-2.2272813","-2.2375696,-1.0601995,-2.2074597","-2.1713688,-1.39765,-2.18954","-2.1242583,-0.66453654,-2.22044","-2.1392252,-1.0401659,-2.1268895","-2.1519313,-1.3766413,-2.0547833","-2.3599095,-0.035816908,-2.0916755","-2.3044481,-0.02651009,-2.0706189","-2.3866444,-0.027008444,-2.1821315","-2.2295043,-0.000639081,-2.1224716"
12,2023-04-04,16:20:07.587757,"-2.3222828,-0.079963416,-2.0313025","-2.2539613,-0.19566467,-2.1551995","-2.4248235,-0.20931727,-2.1745615","-2.5556924,-0.43737465,-2.2104144","-2.5752482,-0.6077378,-2.021461","-2.083099,-0.1820122,-2.1358376","-2.0238726,-0.41178992,-2.2546518","-1.9713573,-0.6518702,-2.3233037","-2.306301,-0.67846924,-2.1787968","-2.2348478,-1.0602958,-2.1618173","-2.171337,-1.3996847,-2.1464345","-2.1205187,-0.66205597,-2.17801","-2.1333272,-1.041441,-2.093818","-2.1444848,-1.3809652,-2.030147","-2.3564565,-0.04137814,-2.0486372","-2.301049,-0.029969335,-2.0286767","-2.384661,-0.03683883,-2.138201","-2.2276738,-0.004513949,-2.0816462"
14,2023-04-04,16:20:22.382480,"-1.228764,1.5281692,-10.868109","-1.1545243,1.3268067,-10.875679","-1.1017245,1.365576,-11.080951","-1.0883365,1.0843822,-11.130959","-1.0989518,0.8150114,-11.184893","-1.2073244,1.2880373,-10.670407","-1.2320033,1.010304,-10.733691","-1.2536135,0.7429613,-10.794051","-1.0822232,0.7166401,-11.09439","-1.0848566,0.2475524,-11.039471","-1.0928,-0.16952801,-10.992239","-1.1435443,0.67620194,-10.873669","-1.1155086,0.22220492,-11.000816","-1.0943924,-0.18127203,-11.11488","-1.193263,1.571764,-10.883544","-1.2170748,1.5578525,-10.819309","-1.0952667,1.563453,-10.918751","-1.1627334,1.5240374,-10.736753"
14,2023-04-04,16:20:22.711382,"-1.3063086,1.2681648,-10.229996","-1.2783005,1.05619,-10.187755","-1.1055539,1.0742836,-10.274453","-1.0989476,0.8150554,-10.334301","-1.0951526,0.5669172,-10.396707","-1.4510473,1.0380967,-10.101059","-1.4593319,0.7733053,-10.126391","-1.4789726,0.52254236,-10.173441","-1.1527389,0.4605167,-10.309225","-1.1847069,0.02728188,-10.36674","-1.1529143,-0.35555065,-10.302322","-1.3497565,0.44005692,-10.211379","-1.2292597,0.019256592,-10.232119","-1.1144662,-0.35294998,-10.2345495","-1.2646186,1.3025277,-10.213228","-1.323262,1.3018899,-10.187861","-1.180082,1.2728764,-10.166079","-1.3462378,1.2710695,-10.094209"
14,2023-04-04,16:20:22.802078,"-1.5057229,1.4658461,-11.121969","-1.4689804,1.2433875,-11.08542","-1.2850249,1.2610695,-11.219434","-1.2419107,0.963302,-11.264838","-1.2370846,0.68541956,-11.356265","-1.6529359,1.2257054,-10.951406","-1.6515149,0.9238092,-10.989382","-1.6616188,0.63605523,-11.041311","-1.3547413,0.60753334,-11.211884","-1.351132,0.17057776,-11.249042","-1.3239559,-0.21829319,-11.248907","-1.5444677,0.5895673,-11.075924","-1.4644167,0.15962064,-11.108509","-1.3760401,-0.22002316,-11.112917","-1.461079,1.5021032,-11.108233","-1.5136752,1.4977849,-11.072847","-1.3625277,1.4733498,-11.069845","-1.5115503,1.4611142,-10.969582"
14,2023-04-04,16:20:22.882808,"-1.4818113,1.4234306,-10.718562","-1.4533509,1.1964395,-10.685562","-1.2765956,1.2114329,-10.845077","-1.214003,0.9060794,-10.885696","-1.2027005,0.61786294,-10.976015","-1.6301062,1.1814463,-10.526047","-1.6328046,0.87140024,-10.577743","-1.6408151,0.5744169,-10.633338","-1.3599703,0.5567279,-10.818534","-1.3437381,0.12478602,-10.837933","-1.3308829,-0.2591343,-10.85696","-1.5366416,0.5429431,-10.662963","-1.5054475,0.11138749,-10.66225","-1.4537574,-0.26868033,-10.633992","-1.4334519,1.4569204,-10.7082205","-1.4829623,1.455944,-10.668476","-1.3321524,1.4221165,-10.675878","-1.4724319,1.4193492,-10.563268"
14,2023-04-04,16:20:22.965532,"-1.462137,1.3067055,-10.080711","-1.4411287,1.0833764,-10.051701","-1.2564006,1.0990971,-10.213513","-1.1818122,0.7899269,-10.257052","-1.1564406,0.49620092,-10.348445","-1.6258569,1.0676558,-9.889887","-1.6618744,0.7532625,-9.943783","-1.6948113,0.4504547,-9.993723","-1.3638858,0.44899595,-10.204451","-1.3355361,0.033723116,-10.226993","-1.319937,-0.33515322,-10.258329","-1.5434949,0.43498802,-10.052256","-1.5273391,0.020306587,-10.091523","-1.5019187,-0.34870768,-10.113363","-1.414253,1.3403945,-10.067485","-1.4649677,1.3376667,-10.029367","-1.3125321,1.3059392,-10.031588","-1.456224,1.2982099,-9.923586"
14,2023-04-04,16:20:23.044268,"-1.4356714,1.1951978,-9.511661","-1.4005444,0.9905368,-9.486351","-1.2188442,1.0067127,-9.651391","-1.1495377,0.69621396,-9.693151","-1.1229206,0.39998472,-9.775181","-1.5822448,0.974361,-9.32131","-1.6281788,0.66308916,-9.384212","-1.6679809,0.36227727,-9.440044","-1.3441732,0.375481,-9.658574","-1.313681,-0.021922112,-9.666382","-1.294006,-0.37539113,-9.681843","-1.5196035,0.36085606,-9.505143","-1.4993691,-0.026771307,-9.596004","-1.4770354,-0.3721887,-9.671862","-1.38931,1.2316196,-9.502087","-1.4371547,1.2262696,-9.46067","-1.2827028,1.205631,-9.47155","-1.4182633,1.1904733,-9.354206"
14,2023-04-04,16:20:23.134965,"-1.4338369,1.076024,-8.741727","-1.4000261,0.86650234,-8.732465","-1.2100756,0.88660145,-8.871447","-1.1398861,0.5948415,-8.915982","-1.1013623,0.31688666,-8.995652","-1.5899768,0.846403,-8.593482","-1.6462947,0.55981326,-8.67551","-1.6964993,0.28210235,-8.749311","-1.3445095,0.29881525,-8.925575","-1.3291523,-0.081462026,-9.020564","-1.3184276,-0.418558,-9.1090355","-1.5239596,0.28078353,-8.799663","-1.539418,-0.10330725,-8.877797","-1.5289735,-0.45001805,-8.913272","-1.3866024,1.1086943,-8.726195","-1.4365574,1.1016163,-8.688086","-1.2826879,1.0753324,-8.692347","-1.4242281,1.0552783,-8.584365"
14,2023-04-04,16:20:23.215695,"-1.4407557,1.0223174,-8.377881","-1.3976756,0.82081467,-8.376652","-1.2029971,0.8457799,-8.496094","-1.132878,0.5620749,-8.54356","-1.0899893,0.29285693,-8.625581","-1.592354,0.795849,-8.257209","-1.647614,0.5188178,-8.345856","-1.6980888,0.25069344,-8.427138","-1.3313183,0.2780819,-8.588295","-1.3191918,-0.08295262,-8.740133","-1.3091466,-0.40341032,-8.87625","-1.5152323,0.25533736,-8.480089","-1.5496864,-0.11919916,-8.5900135","-1.5599316,-0.46123016,-8.655064","-1.3955493,1.0554821,-8.358889","-1.4468753,1.045314,-8.323679","-1.2922716,1.024734,-8.320772","-1.4376962,0.995924,-8.22101"
14,2023-04-04,16:20:23.297421,"-1.4519387,0.95580554,-8.08448","-1.3993481,0.7562065,-8.086924","-1.1998082,0.7820073,-8.188055","-1.1303215,0.5041511,-8.238802","-1.0827925,0.24120677,-8.321419","-1.5988877,0.7304055,-7.9857903","-1.6580646,0.45909548,-8.072372","-1.7130009,0.19671762,-8.15215","-1.3227937,0.23143458,-8.30422","-1.3088332,-0.11666441,-8.483206","-1.2960198,-0.42644787,-8.641567","-1.5110006,0.20814645,-8.212576","-1.5525182,-0.15475166,-8.353944","-1.5775821,-0.4861586,-8.457623","-1.4085146,0.9889029,-8.06183","-1.4613826,0.9764131,-8.029887","-1.306805,0.95871955,-8.019256","-1.4565974,0.92333174,-7.928755"
14,2023-04-04,16:20:23.387122,"-1.5468132,0.81345755,-7.6013412","-1.4654982,0.64232963,-7.606261","-1.3186184,0.6806071,-7.723638","-1.2867049,0.42917812,-7.783438","-1.2700506,0.19046092,-7.8571396","-1.6123779,0.60405236,-7.4888844","-1.6504065,0.35610735,-7.5587993","-1.6854573,0.11700797,-7.6243587","-1.3931214,0.1515286,-7.8382597","-1.3943554,-0.20020592,-8.023556","-1.3944927,-0.51340604,-8.187225","-1.546225,0.11160231,-7.717838","-1.5494423,-0.22283494,-7.932769","-1.5409536,-0.52743924,-8.111727","-1.5039073,0.85115117,-7.5920086","-1.5469621,0.8374054,-7.54866","-1.3940516,0.83600897,-7.570629","-1.5160396,0.797063,-7.447809"
14,2023-04-04,16:20:23.471839,"-1.6238549,0.7987767,-7.4476795","-1.5331813,0.6399045,-7.464293","-1.4226835,0.681309,-7.6029596","-1.4060344,0.43896854,-7.6575756","-1.4053614,0.2082882,-7.7215943","-1.6436793,0.59850025,-7.325627","-1.6632069,0.35800195,-7.387012","-1.6809171,0.1264751,-7.44527","-1.480661,0.15626681,-7.694368","-1.4977579,-0.21652901,-7.8312836","-1.5079532,-0.54937446,-7.9494405","-1.5985265,0.111240864,-7.5467005","-1.5962999,-0.21864891,-7.768472","-1.5847859,-0.51590073,-7.9591556","-1.5823758,0.8379649,-7.4515977","-1.6134336,0.82655424,-7.398777","-1.4706388,0.8293383,-7.45518","-1.5586354,0.7970076,-7.3055215"
14,2023-04-04,16:20:23.557552,"-1.6541739,0.7722243,-7.286009","-1.5567896,0.6243956,-7.3116393","-1.4692986,0.66326684,-7.461001","-1.4616258,0.4269755,-7.5071983","-1.4703268,0.20176029,-7.560597","-1.6442806,0.58552444,-7.162277","-1.669163,0.35183358,-7.215155","-1.6914154,0.12676096,-7.2651167","-1.523293,0.14316595,-7.530423","-1.5348152,-0.25020242,-7.576212","-1.5379213,-0.6004412,-7.6129174","-1.6168207,0.10058665,-7.369957","-1.6280017,-0.23144615,-7.585821","-1.6258667,-0.53059804,-7.7716374","-1.6160992,0.811809,-7.299109","-1.6375891,0.8029487,-7.241634","-1.507243,0.8074321,-7.3203855","-1.568131,0.782328,-7.157539"
14,2023-04-04,16:20:23.638282,"-1.663876,0.7285255,-7.1256013","-1.5686378,0.57720214,-7.1500154","-1.4800625,0.61235714,-7.299391","-1.4754255,0.3781563,-7.339189","-1.4874233,0.15503716,-7.3868346","-1.6572133,0.54204714,-7.000641","-1.6968458,0.31178164,-7.043797","-1.7324259,0.08970642,-7.0839567","-1.533436,0.09669149,-7.3537903","-1.525022,-0.29351974,-7.3414345","-1.514972,-0.64025676,-7.328906","-1.6272194,0.059010267,-7.195146","-1.6565851,-0.27668822,-7.392459","-1.662871,-0.5819495,-7.5575657","-1.6262879,0.76838595,-7.1370993","-1.6475316,0.75726146,-7.0804224","-1.5186261,0.76497537,-7.1586704","-1.5788169,0.7334555,-6.998084"
14,2023-04-04,16:20:23.733962,"-1.6801046,0.6615575,-6.957381","-1.6070087,0.49419606,-6.9459686","-1.4952714,0.5162834,-7.0722256","-1.4951693,0.2917316,-7.1032996","-1.5118004,0.07894635,-7.1475487","-1.7187465,0.4721083,-6.8197103","-1.7639087,0.25211334,-6.8505597","-1.8052409,0.039925575,-6.8784914","-1.5461473,0.013412952,-7.099201","-1.5007586,-0.33660567,-6.9337053","-1.4607298,-0.647923,-6.786912","-1.6666694,-0.009695172,-6.963931","-1.7249199,-0.35199428,-7.141133","-1.7683829,-0.6608951,-7.291998","-1.6390055,0.6986615,-6.9546247","-1.678015,0.684779,-6.907083","-1.5310342,0.68998724,-6.945202","-1.6415612,0.6506526,-6.810499"
14,2023-04-04,16:20:23.815689,"-1.7134562,0.6585732,-6.8508053","-1.6530248,0.49002755,-6.8383923","-1.5485432,0.51234734,-6.9537454","-1.5448561,0.2987802,-6.9877644","-1.5579658,0.09666467,-7.0349855","-1.7575066,0.46770763,-6.7230396","-1.7926924,0.2566991,-6.754964","-1.8248948,0.053337216,-6.784279","-1.5838336,0.015957713,-6.989604","-1.5209918,-0.3169762,-6.796906","-1.4657605,-0.61342216,-6.6262894","-1.7036713,-0.008728862,-6.858618","-1.7587535,-0.35181963,-7.0352","-1.8073457,-0.6570016,-7.191864","-1.6725693,0.6944292,-6.8442993","-1.7136536,0.67696387,-6.7992153","-1.5652301,0.6864094,-6.8314376","-1.6816361,0.6369245,-6.703701"
14,2023-04-04,16:20:23.896419,"-1.791017,0.6562007,-6.819159","-1.7144471,0.49254936,-6.8183103","-1.6053509,0.5141023,-6.9297476","-1.5712527,0.30459595,-6.9719715","-1.5644426,0.10675907,-7.036151","-1.8235434,0.47099668,-6.706873","-1.8672297,0.2615788,-6.739647","-1.9073212,0.05956149,-6.7694197","-1.6375594,0.017674446,-6.960902","-1.5907428,-0.37400424,-6.920761","-1.5526457,-0.7229204,-6.888734","-1.7622176,-0.006396055,-6.8355575","-1.8128868,-0.3666271,-6.993297","-1.8613088,-0.6850009,-7.1365204","-1.7511822,0.6932311,-6.8160176","-1.7876117,0.67386776,-6.7677374","-1.6433537,0.68946135,-6.8127413","-1.746571,0.63459855,-6.6759467"
14,2023-04-04,16:20:23.990106,"-1.8475338,0.5940104,-6.479068","-1.7889293,0.4195012,-6.459127","-1.6669861,0.43518835,-6.558259","-1.6367878,0.22431266,-6.5963244","-1.6218498,0.02369392,-6.649479","-1.9108727,0.40381438,-6.3599954","-1.940873,0.19279969,-6.397442","-1.9685372,-0.010504484,-6.432061","-1.702741,-0.061721444,-6.5711904","-1.68451,-0.44226623,-6.5923986","-1.6705718,-0.7804581,-6.614104","-1.8417186,-0.07840836,-6.46092","-1.8659182,-0.45863056,-6.4819455","-1.8902062,-0.7962092,-6.5040827","-1.8046978,0.6268495,-6.4707723","-1.8512127,0.61441976,-6.42855","-1.6998771,0.6121683,-6.4486485","-1.8316696,0.57695127,-6.329018"
14,2023-04-04,16:20:24.075819,"-1.8622767,0.52153754,-6.0674534","-1.7688382,0.3743034,-6.085705","-1.7063259,0.39088124,-6.229083","-1.6924525,0.18025064,-6.272396","-1.6894503,-0.021745324,-6.318431","-1.8313504,0.35772544,-5.9423265","-1.8522059,0.14494467,-5.969219","-1.870472,-0.059912443,-5.9943295","-1.7217973,-0.10673845,-6.218505","-1.7349443,-0.48193216,-6.252906","-1.7248276,-0.8162198,-6.2740498","-1.7932267,-0.124800086,-6.0563564","-1.7703862,-0.4997114,-6.088707","-1.7391403,-0.83250284,-6.1126084","-1.8296161,0.5600617,-6.087627","-1.8417221,0.5492611,-6.02542","-1.7310443,0.56115997,-6.129156","-1.7653451,0.5305578,-5.952901"
14,2023-04-04,16:20:24.155553,"-1.8545569,0.4727397,-5.735515","-1.7541867,0.3390236,-5.771397","-1.7175903,0.35839164,-5.924045","-1.6719165,0.1512487,-5.9702177","-1.6712719,-0.05030942,-6.0244837","-1.7907829,0.3196553,-5.618749","-1.8043315,0.105314255,-5.650382","-1.8159714,-0.10091233,-5.680483","-1.7188792,-0.13725531,-5.915422","-1.7558507,-0.5096822,-5.960188","-1.7538985,-0.8432095,-5.9919767","-1.760301,-0.15868628,-5.743955","-1.7494178,-0.5258939,-5.828292","-1.7177,-0.85209227,-5.8978868","-1.8302724,0.5128144,-5.7617216","-1.8309741,0.5031866,-5.698107","-1.7437478,0.519563,-5.8194017","-1.7457361,0.49228388,-5.639161"
14,2023-04-04,16:20:24.239273,"-1.841182,0.44320142,-5.4216213","-1.7492334,0.3171454,-5.480626","-1.7789786,0.3362841,-5.6382437","-1.738906,0.13089085,-5.7007966","-1.743007,-0.072503805,-5.7529464","-1.7194881,0.2980069,-5.323009","-1.7290457,0.081944466,-5.3535156","-1.7367585,-0.12582803,-5.383129","-1.7477726,-0.15646088,-5.6292677","-1.7952522,-0.5253824,-5.692419","-1.7821522,-0.85376656,-5.759223","-1.7140113,-0.17758524,-5.4564877","-1.7102543,-0.53673995,-5.5719833","-1.6807321,-0.85309756,-5.6793","-1.8321284,0.48374265,-5.4544864","-1.8108244,0.47683316,-5.3941803","-1.7741698,0.49393106,-5.5366993","-1.7138081,0.47435415,-5.365832"
14,2023-04-04,16:20:24.332959,"-1.8707978,0.37248403,-5.005421","-1.7989225,0.2528922,-5.0947523","-1.9348749,0.26001632,-5.190471","-1.9520144,0.07875991,-5.3215013","-2.0245605,-0.04571241,-5.1609883","-1.6629702,0.24576789,-4.999033","-1.5938392,0.063527584,-5.1100554","-1.6332073,-0.14831305,-5.100352","-1.8409308,-0.2217437,-5.224349","-1.8909339,-0.5817176,-5.3256598","-1.8841867,-0.8767631,-5.484949","-1.6939082,-0.22958559,-5.125882","-1.7467372,-0.5810598,-5.252453","-1.7855973,-0.8901316,-5.376691","-1.888479,0.41122,-5.0361133","-1.8375216,0.41215897,-4.9968357","-1.8879683,0.4218046,-5.133655","-1.743589,0.42446464,-5.022368"
14,2023-04-04,16:20:24.417676,"-1.8725653,0.32737648,-4.819964","-1.7937722,0.22750837,-4.9098277","-1.9488065,0.23013419,-4.970463","-2.0073447,0.056200564,-5.099558","-1.9998544,-0.0127795935,-4.8952727","-1.6387378,0.22488254,-4.849192","-1.5772097,0.04665929,-4.9708304","-1.6246336,-0.15636575,-4.915344","-1.8547124,-0.24634796,-5.0174127","-1.9200112,-0.6028201,-5.1129317","-1.9404813,-0.88484126,-5.289074","-1.6879419,-0.24942696,-4.958192","-1.7538502,-0.59587795,-5.0850306","-1.8070627,-0.8990797,-5.212382","-1.8963484,0.36628842,-4.845455","-1.8424304,0.36903512,-4.810688","-1.9059505,0.38358563,-4.9406486","-1.7531834,0.3913682,-4.842143"
14,2023-04-04,16:20:24.503390,"-1.8854296,0.28379375,-4.6443458","-1.8024186,0.19670516,-4.734478","-1.9639574,0.19698071,-4.774577","-2.0428963,0.02429068,-4.892668","-1.9955825,-0.027831614,-4.689514","-1.6408798,0.19642943,-4.694378","-1.576808,0.0098513365,-4.7996492","-1.6143979,-0.18228203,-4.710777","-1.8724252,-0.27669317,-4.8221526","-1.9389797,-0.6329022,-4.9063954","-1.9711874,-0.90877795,-5.085887","-1.6994759,-0.27736688,-4.785997","-1.7692192,-0.62073725,-4.911072","-1.8274125,-0.9198017,-5.039664","-1.9118127,0.322913,-4.666494","-1.8567067,0.3260467,-4.6340227","-1.926305,0.34464526,-4.7597647","-1.770172,0.35352415,-4.6677628"
14,2023-04-04,16:20:24.596080,"-1.9703386,0.25871956,-4.3135815","-1.8959725,0.17906654,-4.4072084","-2.062559,0.16712177,-4.4321356","-2.1765907,0.0024650693,-4.534841","-2.0710113,0.045512676,-4.350881","-1.7293857,0.19101113,-4.3822803","-1.6480452,-0.017861664,-4.402759","-1.7005444,-0.059277654,-4.19692","-1.9461502,-0.30301368,-4.438573","-2.0510118,-0.64845854,-4.5273976","-2.1320057,-0.92409843,-4.690713","-1.7706856,-0.2923923,-4.420872","-1.8478134,-0.6308392,-4.554","-1.9091055,-0.8968438,-4.7402635","-2.0014243,0.29841644,-4.3290153","-1.9417133,0.3021537,-4.304953","-2.0309598,0.3219657,-4.4177966","-1.861778,0.33255458,-4.3496194"
14,2023-04-04,16:20:24.674816,"-1.9976957,0.24186403,-4.151586","-1.9214443,0.15257174,-4.243403","-2.0870762,0.1370222,-4.2711635","-2.2003078,-0.03525853,-4.3642907","-2.140777,-0.095523,-4.163945","-1.7558124,0.16812152,-4.2156434","-1.6902316,-0.04769349,-4.232902","-1.7297376,-0.06338644,-4.019578","-1.9624635,-0.32745206,-4.26544","-2.057254,-0.66865,-4.3636756","-2.1347394,-0.9544564,-4.501582","-1.7876793,-0.31353766,-4.2447667","-1.8709328,-0.65663624,-4.346766","-1.9338562,-0.92567545,-4.521024","-2.0283582,0.28154784,-4.168998","-1.9690835,0.28592843,-4.143978","-2.0559483,0.301019,-4.259406","-1.8880042,0.3134305,-4.1885166"
14,2023-04-04,16:20:24.755547,"-2.0089297,0.23353773,-3.9841638","-1.9456114,0.12656492,-4.0828247","-2.112462,0.10914385,-4.095007","-2.195623,-0.088260055,-4.171691","-2.1841705,-0.24009436,-4.01461","-1.7787606,0.14398599,-4.0706425","-1.7157692,-0.06957102,-4.1174397","-1.7283467,-0.07789606,-3.8991928","-1.983218,-0.3535428,-4.0983953","-2.033635,-0.7087102,-4.18289","-2.077096,-1.0031443,-4.319778","-1.8074961,-0.33747613,-4.0936766","-1.8741298,-0.689955,-4.178197","-1.9317393,-0.9832451,-4.312289","-2.0413828,0.27253693,-4.000657","-1.9794936,0.27802414,-3.9833722","-2.079588,0.28409296,-4.088102","-1.9042358,0.29963994,-4.0391293"
14,2023-04-04,16:20:24.836276,"-2.004102,0.23750323,-3.7918844","-1.951152,0.11708057,-3.8937051","-2.1159346,0.100461304,-3.8980443","-2.1559153,-0.120502055,-3.9366453","-2.1439478,-0.2849009,-3.7923307","-1.78637,0.13369972,-3.8893661","-1.7230091,-0.072239816,-3.9634445","-1.7211004,-0.09565157,-3.7456255","-1.9906794,-0.3638965,-3.913946","-1.9797126,-0.7287347,-3.9512315","-1.9734831,-1.0337107,-4.0666227","-1.8150767,-0.34797513,-3.9165854","-1.8809006,-0.704529,-3.9727454","-1.9398249,-1.0116476,-4.065323","-2.038023,0.27600098,-3.8072567","-1.9750632,0.28241217,-3.7948778","-2.0826654,0.2823937,-3.8914366","-1.9042796,0.30055884,-3.8563626"
14,2023-04-04,16:20:24.928966,"-1.9963348,0.17580485,-3.4084473","-1.957529,0.03914821,-3.5201592","-2.1151772,0.033048987,-3.505403","-2.097029,-0.19398147,-3.5043561","-2.037464,-0.3338436,-3.3467162","-1.7998803,0.045247674,-3.5349157","-1.7154504,-0.1395005,-3.637935","-1.6969889,-0.19247872,-3.4262462","-2.031005,-0.43947643,-3.5569725","-1.9553066,-0.7943321,-3.5037801","-1.9360402,-1.0803826,-3.6588976","-1.8562945,-0.43375862,-3.5800986","-1.9163067,-0.7954538,-3.5725307","-1.9756176,-1.1121032,-3.6222591","-2.028341,0.21607575,-3.4215977","-1.9658263,0.21880797,-3.414698","-2.0780113,0.22051632,-3.499846","-1.9008859,0.22825772,-3.4802957"
14,2023-04-04,16:20:25.011690,"-2.0014064,0.13417572,-3.227967","-1.9593428,-0.013140202,-3.3409271","-2.1157367,-0.013104141,-3.3246255","-2.1042435,-0.23803085,-3.2969265","-2.044268,-0.34466004,-3.1162615","-1.8029488,-0.013176203,-3.357229","-1.7073685,-0.20092422,-3.4415283","-1.6921874,-0.24154907,-3.2276924","-2.052772,-0.48750603,-3.3866339","-1.9800209,-0.84012526,-3.3206162","-1.9744972,-1.1107212,-3.5012178","-1.8782755,-0.4882602,-3.4117239","-1.9122041,-0.8525516,-3.4002328","-1.9511522,-1.1667875,-3.4751222","-2.032005,0.17463005,-3.243587","-1.9698458,0.17623809,-3.235143","-2.0793796,0.17575511,-3.3225229","-1.9032623,0.18031138,-3.298598"
14,2023-04-04,16:20:25.090427,"-2.0197875,0.113675445,-3.048095","-1.9609383,-0.036097884,-3.155347","-2.116849,-0.035785615,-3.1489835","-2.108186,-0.2567885,-3.1068273","-2.0592296,-0.3429138,-2.914329","-1.8050274,-0.036409914,-3.161711","-1.7159915,-0.23935491,-3.2014651","-1.7725012,-0.22274244,-2.9931374","-2.0519938,-0.5102177,-3.200871","-2.0017352,-0.8624446,-3.1154675","-1.9976817,-1.1306127,-3.2994614","-1.8761132,-0.5118029,-3.21588","-1.884476,-0.8766563,-3.2422495","-1.8960994,-1.1775204,-3.3652546","-2.0477362,0.15413946,-3.06794","-1.987238,0.15533403,-3.0522645","-2.0852087,0.15395337,-3.1517909","-1.9137962,0.15733814,-3.1073775"
14,2023-04-04,16:20:25.184113,"-2.0496368,0.09022418,-2.662302","-1.9618905,-0.05298364,-2.77089","-2.117789,-0.057146907,-2.7732375","-2.117248,-0.27968115,-2.7388976","-2.082119,-0.37010416,-2.545337","-1.8059924,-0.048820317,-2.7685423","-1.7448642,-0.26102728,-2.8125033","-1.8393179,-0.22770351,-2.6205556","-2.0386434,-0.5306778,-2.799274","-2.1254666,-0.9143039,-2.82209","-2.1919208,-1.1239221,-3.0946577","-1.8587061,-0.52836585,-2.807547","-1.9431244,-0.9015394,-2.901584","-2.0144038,-1.1872296,-3.0911872","-2.0738635,0.13376394,-2.684692","-2.0176213,0.13447902,-2.661615","-2.0963278,0.1377851,-2.77689","-1.9369748,0.13981098,-2.711505"
14,2023-04-04,16:20:25.266837,"-2.070775,0.054437757,-2.4946477","-1.9788675,-0.08430621,-2.5996022","-2.1342976,-0.093144715,-2.606621","-2.1245162,-0.3155254,-2.5776002","-2.0589776,-0.3598267,-2.376773","-1.8234372,-0.075467676,-2.5925834","-1.7721071,-0.28304023,-2.6609204","-1.8707807,-0.2516103,-2.4715395","-2.0415137,-0.56492114,-2.6099486","-2.1598697,-0.94178903,-2.6930652","-2.2433643,-1.1150103,-2.996001","-1.8608444,-0.5575305,-2.6144376","-1.9771314,-0.932302,-2.7091446","-2.0742023,-1.2207973,-2.8991313","-2.093649,0.09895131,-2.5164096","-2.0388026,0.098617464,-2.492599","-2.1132007,0.10513687,-2.6089232","-1.9578037,0.104190975,-2.54146"
14,2023-04-04,16:20:25.349560,"-2.0881617,0.013014644,-2.3319228","-1.9969976,-0.12903592,-2.4369433","-2.1521215,-0.14189547,-2.4432545","-2.1379662,-0.36306617,-2.4161258","-2.05401,-0.3474087,-2.219154","-1.8418739,-0.116176516,-2.430632","-1.7757162,-0.30760577,-2.5246043","-1.8768418,-0.30234966,-2.3352954","-2.0476487,-0.61118007,-2.4369757","-2.1494844,-0.9918251,-2.5339148","-2.2256184,-1.1633054,-2.841971","-1.8671962,-0.59936714,-2.4416294","-1.9844079,-0.97643113,-2.535131","-2.0833368,-1.2679815,-2.7230456","-2.109684,0.05795178,-2.3537698","-2.055179,0.056278944,-2.3314703","-2.1303086,0.06310004,-2.445652","-1.9758765,0.058360428,-2.3824697"
14,2023-04-04,16:20:25.433280,"-2.0995207,-0.012968004,-2.1699088","-2.0159428,-0.15351236,-2.282221","-2.1705,-0.16695094,-2.283928","-2.168885,-0.38818124,-2.2734733","-2.0836704,-0.3434495,-2.0834956","-1.8613851,-0.1400739,-2.2805138","-1.785872,-0.3061006,-2.4061627","-1.7983607,-0.36668858,-2.2023811","-2.0642278,-0.63569504,-2.2889872","-2.1401875,-1.0188619,-2.382681","-2.2045295,-1.196366,-2.6857502","-1.884669,-0.6230923,-2.296642","-2.0140665,-0.9954349,-2.3739889","-2.12525,-1.2872612,-2.5471194","-2.12082,0.032928467,-2.1887739","-2.065912,0.029299319,-2.1699352","-2.1462252,0.040596902,-2.277857","-1.9906536,0.030314147,-2.2244804"
